,term_str,n_male,p_male,n_female,p_female,pos_y,diff,rank,gender_word,campaign_word,media_word,people,junk_words,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,pf_adj,pm_adj,class,overall_freq
2,abc,98,0.1,16,0.04,NN,5.88E-05,2830,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.1,media,0.08038
32,ad,327,0.33,41,0.1,NN,0.000226893,3111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.33,media,0.25479
50,ads,290,0.29,37,0.09,NNS,0.000199644,3093,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.29,media,0.2246
77,ahead,718,0.72,145,0.36,RB,0.000362648,3151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.72,other,0.60228
115,america,562,0.56,243,0.6,VBP,-3.54E-05,526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.56,campaign,0.57308
117,american,602,0.6,191,0.47,JJ,0.000132885,3031,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.6,campaign,0.55749
160,aoc,220,0.22,76,0.19,NN,3.33E-05,2538,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.22,people,0.21019
185,argument,91,0.09,40,0.1,NN,-7.35E-06,1000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.1,0.09,negative,0.09327
207,attack,254,0.25,23,0.06,NN,0.000198054,3091,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.06,0.25,negative,0.18787
239,back,832,0.83,307,0.76,RB,7.76E-05,2910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.83,other,0.80711
244,bad,339,0.34,97,0.24,JJ,0.000100858,2977,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0.24,0.34,negative,0.3073
247,ballot,204,0.2,97,0.24,NN,-3.45E-05,536,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.24,0.2,campaign,0.21308
273,beautiful,40,0.04,42,0.1,VBP,-6.34E-05,297,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.1,0.04,positive,0.05962
286,believe,423,0.42,217,0.54,VBP,-0.000110756,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.42,other,0.45924
293,best,640,0.64,436,1.07,JJS,-0.000433061,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0175,0.64,other,0.78061
297,better,477,0.48,322,0.79,RBR,-0.000315477,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.48,other,0.58137
302,big,712,0.71,358,0.88,JJ,-0.000168532,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.71,other,0.76559
314,black,832,0.83,234,0.58,JJ,0.000257556,3122,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.58,0.83,other,0.74825
350,breaking,651,0.65,141,0.35,VBG,0.00030531,3136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.65,other,0.5519
357,brilliant,40,0.04,65,0.16,NN,-0.000120141,146,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.16,0.04,positive,0.07924
411,campaign,3777,3.79,1837,4.53,NN,-0.000740888,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8825,1.6975,campaign,4.03198
413,campaigning,104,0.1,42,0.1,VBG,7.59E-07,1264,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.1,0.1,negative,0.1
426,candidate,1847,1.85,941,2.32,NN,-0.000467544,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,1.2125,campaign,2.00369
427,candidates,890,0.89,325,0.8,NNS,9.14E-05,2949,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.89,campaign,0.86057
459,caucus,164,0.16,51,0.13,NN,3.87E-05,2619,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.16,campaign,0.15019
485,champion,34,0.03,39,0.1,NN,-6.21E-05,303,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.1,0.03,positive,0.05289
